E V T
-6.799645E+02 -1.699242E+03 +1.019277E+03
-6.799592E+02 -1.698484E+03 +1.018524E+03
-6.799640E+02 -1.693201E+03 +1.013237E+03
-6.799573E+02 -1.686379E+03 +1.006422E+03
-6.799642E+02 -1.682033E+03 +1.002069E+03
-6.799668E+02 -1.682948E+03 +1.002981E+03
-6.799597E+02 -1.687395E+03 +1.007436E+03
-6.799661E+02 -1.689377E+03 +1.009411E+03
-6.799663E+02 -1.684170E+03 +1.004204E+03
-6.799747E+02 -1.674806E+03 +9.948314E+02
-6.799776E+02 -1.668142E+03 +9.881645E+02
-6.799735E+02 -1.665964E+03 +9.859910E+02
-6.799747E+02 -1.666910E+03 +9.869353E+02
-6.799758E+02 -1.671236E+03 +9.912603E+02
-6.799812E+02 -1.678083E+03 +9.981017E+02
-6.799884E+02 -1.681920E+03 +1.001932E+03
-6.799871E+02 -1.679002E+03 +9.990149E+02
-6.799942E+02 -1.671646E+03 +9.916515E+02
-6.799965E+02 -1.664173E+03 +9.841765E+02
-6.799944E+02 -1.660862E+03 +9.808673E+02
-6.799850E+02 -1.664444E+03 +9.844593E+02
-6.799860E+02 -1.673198E+03 +9.932122E+02
-6.799827E+02 -1.682967E+03 +1.002984E+03
-6.799768E+02 -1.690736E+03 +1.010760E+03
-6.799717E+02 -1.695679E+03 +1.015708E+03
-6.799709E+02 -1.698106E+03 +1.018135E+03
-6.799732E+02 -1.699022E+03 +1.019049E+03
-6.799771E+02 -1.700263E+03 +1.020286E+03
-6.799817E+02 -1.701044E+03 +1.021062E+03
-6.799850E+02 -1.700379E+03 +1.020394E+03
-6.799827E+02 -1.698764E+03 +1.018781E+03
-6.799868E+02 -1.697262E+03 +1.017275E+03
-6.799870E+02 -1.697085E+03 +1.017098E+03
-6.799912E+02 -1.695731E+03 +1.015739E+03
-6.799998E+02 -1.690528E+03 +1.010528E+03
-6.799980E+02 -1.684264E+03 +1.004266E+03
-6.800049E+02 -1.682645E+03 +1.002640E+03
-6.800006E+02 -1.686451E+03 +1.006451E+03
-6.800132E+02 -1.689962E+03 +1.009949E+03
-6.800137E+02 -1.690063E+03 +1.010050E+03
-6.800062E+02 -1.687699E+03 +1.007693E+03
-6.800121E+02 -1.684121E+03 +1.004109E+03
-6.800070E+02 -1.680375E+03 +1.000368E+03
-6.800070E+02 -1.677927E+03 +9.979202E+02
-6.800078E+02 -1.677561E+03 +9.975537E+02
-6.800098E+02 -1.679620E+03 +9.996106E+02
-6.800116E+02 -1.685899E+03 +1.005888E+03
-6.799932E+02 -1.695063E+03 +1.015070E+03
-6.799978E+02 -1.700940E+03 +1.020943E+03
-6.799919E+02 -1.701462E+03 +1.021470E+03
-6.799906E+02 -1.699743E+03 +1.019753E+03
-6.799945E+02 -1.697615E+03 +1.017620E+03
-6.799912E+02 -1.694299E+03 +1.014308E+03
-6.799888E+02 -1.689784E+03 +1.009796E+03
-6.799904E+02 -1.685386E+03 +1.005395E+03
-6.799822E+02 -1.682225E+03 +1.002243E+03
-6.799860E+02 -1.682838E+03 +1.002852E+03
-6.799784E+02 -1.688431E+03 +1.008453E+03
-6.799807E+02 -1.694218E+03 +1.014237E+03
-6.799761E+02 -1.695262E+03 +1.015286E+03
-6.799666E+02 -1.690648E+03 +1.010682E+03
-6.799688E+02 -1.685289E+03 +1.005320E+03
-6.799763E+02 -1.685180E+03 +1.005203E+03
-6.799797E+02 -1.686507E+03 +1.006527E+03
-6.799768E+02 -1.686027E+03 +1.006050E+03
-6.799916E+02 -1.684898E+03 +1.004906E+03
-6.799991E+02 -1.686256E+03 +1.006257E+03
-6.799989E+02 -1.687971E+03 +1.007973E+03
-6.800086E+02 -1.685819E+03 +1.005811E+03
-6.800175E+02 -1.681020E+03 +1.001002E+03
-6.800149E+02 -1.677890E+03 +9.978748E+02
-6.800180E+02 -1.679956E+03 +9.999383E+02
-6.800055E+02 -1.685891E+03 +1.005886E+03
-6.800053E+02 -1.688682E+03 +1.008677E+03
-6.799997E+02 -1.682306E+03 +1.002306E+03
-6.799942E+02 -1.666611E+03 +9.866167E+02
-6.799944E+02 -1.649773E+03 +9.697788E+02
-6.799983E+02 -1.642785E+03 +9.627867E+02
-6.799914E+02 -1.646203E+03 +9.662117E+02
-6.799945E+02 -1.651574E+03 +9.715793E+02
-6.799932E+02 -1.655004E+03 +9.750103E+02
-6.799843E+02 -1.657093E+03 +9.771089E+02
-6.799789E+02 -1.656665E+03 +9.766857E+02
-6.799783E+02 -1.656589E+03 +9.766103E+02
-6.799858E+02 -1.662404E+03 +9.824185E+02
