rx ry rz vx vy vz ax ay az
-5.855442E+00 +1.213661E+01 +6.434239E+00 +6.022330E-01 -3.161768E-01 +5.739137E-01 -2.000870E+00 +2.639604E+00 -1.294866E+00
+3.197212E+00 +2.548017E+01 +5.898442E+00 +1.215705E+00 -5.270497E-01 +1.417859E+00 -2.525183E+01 -1.706043E+01 +5.091309E+00
-1.740289E+00 +9.857959E+00 +2.919099E+00 -8.348832E-01 -9.538974E-01 -3.148700E-01 +2.419498E+00 +1.691981E+00 -8.646258E-01
-4.570705E+00 +1.267905E+01 +5.443418E+00 +5.379372E-02 +7.315983E-02 -2.198686E+00 +1.096698E+00 -3.301738E+00 -1.966548E+00
+8.019858E+00 -3.049652E+00 +9.483017E+00 -1.646294E+00 +9.898532E-01 +2.413240E-01 +1.367152E+00 -5.691001E+00 -6.430456E-01
-5.869540E+00 +5.392280E+00 +5.489831E+00 -9.017407E-01 +6.338821E-01 +1.810507E+00 +9.100655E+00 -4.221464E+00 -2.421937E+00
+1.281859E+01 +8.353064E-03 -8.006022E+00 +1.098014E+00 +1.470187E+00 -1.882954E+00 -6.382458E-01 -3.730573E-01 -3.545317E+00
+5.546360E+00 +7.165927E+00 -8.177215E-01 +1.186253E+00 +3.756599E-01 +5.668757E-01 -3.250824E+00 -2.285324E+00 -9.441571E-01
+9.962885E+00 +3.333658E+00 -1.607429E+00 -1.598364E+00 -1.723653E+00 +5.408695E-01 -7.673856E+00 -1.631202E+01 -1.077871E+01
+3.729408E+00 +3.835027E+00 +6.774386E+00 -5.835912E-01 +1.453327E+00 -8.354349E-01 -1.543001E+00 -9.980513E-01 +6.993767E+00
+6.620534E+00 -6.536178E+00 -4.220326E+00 +2.134087E+00 +2.943061E-02 +4.937762E-01 -3.263313E+00 +3.003553E+00 +9.001409E-01
-4.444633E+00 +1.326738E+00 +2.836908E+00 -3.895034E-01 +7.643662E-01 -5.299768E-01 -1.303825E+00 +5.690524E+00 -1.001919E+01
+1.242939E+00 +4.598073E+00 +7.554341E+00 +1.964212E+00 -3.782088E-01 +3.864527E-01 -8.777901E-01 +1.069373E+01 -9.173861E+00
+2.707432E+00 -5.420246E-01 -1.520327E+00 +1.650026E+00 -1.574154E-01 -4.306178E-01 -2.141206E-01 +1.287405E+00 +3.179251E+00
+1.267899E+00 +5.327259E-01 +2.228005E+00 -8.828340E-01 +1.038675E+00 -5.951266E-01 -1.459828E+00 -8.982972E+01 -1.587830E+01
+2.556824E-01 +6.535918E+00 -6.505909E+00 +6.527528E-01 +5.301246E-01 -2.466053E-01 -4.761638E+00 -2.493925E+01 -1.804498E+01
-2.291893E+00 -5.068810E+00 +3.140179E+00 -1.461972E-01 -6.720538E-01 +3.310059E-01 +1.510440E+00 +9.207974E-01 -2.245141E+00
+6.220119E+00 +3.941976E+00 +1.105294E+01 -1.838849E+00 +3.122389E+00 +2.130130E-01 -1.638450E+01 +9.078969E+00 -2.433027E+01
+7.631010E+00 +1.693740E+01 +6.780101E-01 +2.118901E+00 +2.611055E+00 -4.482315E-01 +2.022644E+00 +3.544225E-01 +2.040916E+00
-2.395269E-01 +2.120551E+00 +1.299479E+01 -5.290311E-01 -9.185282E-02 +6.738980E-01 +3.807394E+00 +8.649873E+00 +2.401234E+01
-1.201519E+01 -1.205566E+01 +1.111586E+01 +1.977276E+00 -3.010131E+00 -4.476476E-01 +1.970402E+01 +1.017376E+01 +1.946852E+00
+1.334304E+01 -9.007475E-01 +3.499588E+00 +1.862712E-01 +1.898559E+00 -1.063929E+00 +2.795957E+00 -6.750915E+00 +4.674312E+00
+6.394806E+00 -3.048461E+00 +1.260753E+01 -1.036552E+00 +3.791149E-01 -3.389403E+00 +1.207454E+01 -1.667444E+01 +1.904418E+01
+1.083412E+00 +6.078993E-01 +1.584846E+01 +1.236941E-01 -4.397543E-01 -2.708158E-01 -8.382917E+00 +1.332428E+01 -1.955163E+01
+1.025588E+01 -1.622570E+00 +1.007778E+01 -3.384653E-01 +9.325124E-01 -9.113983E-01 +1.060662E+00 -2.249019E+01 +5.702691E+01
+2.537234E-01 -2.612014E+00 +4.004260E+00 -9.074658E-01 +1.505889E+00 +6.899072E-01 -3.291107E+00 +2.658349E+01 +1.182124E+01
